,descricao
10,"Mais de 900 mil pessoas perderam a vida por causa do novo coronavírus. E, por isso, a notícia mais aguardada no mundo inteiro é, sem dúvida, a liberação da vacina contra Covid-19. O problema é que junto com as notícias reais sobre os testes das vacinas, também encontramos muitas informações falsas. No episódio de hoje escolhemos três fake news sobre a vacina para desvendar. Bora dar o play?  Se puder, fique em casa! Quando sair não esqueça de usar a máscara! ?   @Gisele Alexandre  ? Episódios inéditos toda terça e quinta-feira no Spotify, na Deezer, no Podcasts  Apple e no Facebook @mandanoticias. Você também pode receber o Manda Notícias por WhatsApp, basta mandar um oi para o número (11)98336-0334.  O Manda Notícias ? é um podcast que leva informação de qualidade e promove a cultura periférica na zona sul de São Paulo. "
11,"A 6ª edição da FELIZS - Feira Literária da Zona Sul já começou! Até o dia 27 de setembro você confere uma programação com o que há de melhor na cultura de quebrada sem sair de casa. Confere aí o episódio de hoje pra saber mais. Se puder, fique em casa! Quando sair não esqueça de usar a máscara! ? @Gisele Alexandre ? Episódios inéditos toda terça e quinta-feira no Spotify, na Deezer, no Podcasts  Apple e no Facebook @mandanoticias. Você também pode receber o Manda Notícias por WhatsApp, basta mandar um oi para o número (11)98336-0334. O Manda Notícias ? é um podcast que leva informação de qualidade e promove a cultura periférica na zona sul de São Paulo. "
12,"Depois de uma breve pausa, o Manda Notícias está de volta para mais uma temporada cheia de informação de qualidade e com algumas novidades.  ? Dá o play e confere o que vem por aí!  @Gisele Alexandre   ?Episódios inéditos toda terça e quinta-feira no Spotify, na Deezer, no Podcasts  Apple e no Facebook @mandanoticias. Você também pode receber o Manda Notícias por WhatsApp, basta mandar um oi para o número (11)98336-0334.  O Manda Notícias é um podcast que leva informação de qualidade e promove a cultura periférica na zona sul de São Paulo. "
13,"O Brasil já superou a triste marca de 100 mil vidas perdidas para a Covid-19. São mais de 3 milhões de pessoas contaminadas oficialmente pelo vírus. No episódio de hoje vamos refletir sobre os motivos que nos fizeram chegar nesta situação. E é com esse triste balanço sobre a pandemia que eu encerro a primeira temporada do Manda Notícias, um projeto de jornalismo independente criado na periferia e para a periferia. Eu sigo minha luta pelo acesso à informação de qualidade e a liberdade de expressão no território do Capão Redondo e continuo produzindo e replicando informações sobre a pandemia na página do Facebook. Gratidão pela oportunidade e pela escuta! E não esqueça: se puder, fique em casa.  Quando sair use a máscara! ?   @Gisele Alexandre  ? Você encontra todos os episódios desta primeira temporada no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no Facebook. O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda semana para mais de 500 pessoas. Curta a página no Facebook: https://www.facebook.com/mandanoticias "
14,"Na semana passada o presidente assinou a Medida Provisória (MP) que vai destinar quase R$ 2 bilhões para que a Fiocruz possa fabricar a vacina contra a Covid-19 no Brasil, prevista para começar em dezembro de 2020. Quer saber mais? Ouça o episódio de hoje! E não esqueça: se puder, fique em casa! Quando sair não esqueça de usar a máscara! ?   @Gisele Alexandre  ? Você encontra todos os episódios desta primeira temporada no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no Facebook. O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda semana para mais de 500 pessoas. Curta a página no Facebook: https://www.facebook.com/mandanoticias "
15,"Já passamos de 2 milhões e meio de pessoas contaminadas pela Covid-19 no Brasil. E o número de mortes pela pandemia também não param de subir, infelizmente. São mais de 90 mil vítimas fatais e algumas delas viviam um momento mágico: a maternidade. No episódio de hoje vamos falar sobre alguns estudos que demonstram que o risco de desenvolver casos graves da doença é maior entre mulheres grávidas e em período de pós-parto. E não esqueça: se puder, fique em casa! Quando sair não esqueça de usar a máscara! ?   @Gisele Alexandre  ? Se você quer ser incluído na lista de transmissão para receber os conteúdos toda semana pelo WhatsApp, salve o número (11) 98336-0334 e manda um oi ??. Você também encontra todos os episódios no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no Facebook.  O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda semana para mais de 500 pessoas.  Curta a página no Facebook: https://www.facebook.com/mandanoticias "
16,"Na semana passada o prefeito Bruno Covas anunciou a universalização do cartão merenda para todos os estudantes da rede pública municipal. No episódio de hoje vou te contar o que é, qual o valor, como e onde se cadastrar para ter acesso ao benefício entre outras informações. Bora lá ouvir?! E não esqueça: se puder, fique em casa! Quando sair não esqueça de usar a máscara! ?   @Gisele Alexandre  ? Se você quer ser incluído na lista de transmissão para receber os conteúdos toda semana pelo WhatsApp, salve o número (11) 98336-0334 e manda um oi ??. Você também encontra todos os episódios no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no Facebook.  O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda semana para mais de 500 pessoas.  Curta a página no Facebook: https://www.facebook.com/mandanoticias "
17,"As fake news, infelizmente, não param de surgir nas rede sociais. Recentemente circulou um vídeo em que um homem afirma que as cascas da laranja e do limão serviriam para curar ou prevenir a Covid-19, já que, de acordo com ele, as frutas teriam os princípios ativos da ivermectina e da cloroquina. Só que não! Bora lá desvendar mais essa notícia falsa?  Ouça, curta e compartilhe!  Se puder, fique em casa! Quando sair não esqueça de usar a máscara! ?   @Gisele Alexandre  ? Se você quer ser incluído na lista de transmissão para receber os conteúdos toda semana pelo WhatsApp, salve o número (11) 98336-0334 e manda um oi ??. Você também encontra todos os episódios no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no Facebook.  O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda semana para mais de 500 pessoas.  Curta a página no Facebook: https://www.facebook.com/mandanoticias "
18,"No início deste mês o Governo Federal anunciou o pagamento de mais duas parcelas no valor de R$ 600 do Auxílio Emergencial, uma ótima notícia. Mas, é importante lembrar que desde o início a população tem enfrentado muitos problemas para acessar este direito.  Além das dificuldades técnicas, muitos beneficiários do Auxílio Emergencial também estão sendo alvos de fraudes e golpes. No episódio de hoje vamos conhecer o caso da Ednéia Silva Lacerda, moradora do Capão Redondo, que foi vítima de um golpe e há mais de 30 dias está aguardando o retorno da Caixa Econômica Federal. Bora ouvir?!  Ouça, curta e compartilhe!  Se puder, fique em casa! Quando sair não esqueça de usar a máscara! ?   @Gisele Alexandre  ? Se você quer ser incluído na lista de transmissão para receber os conteúdos toda semana pelo WhatsApp, salve o número (11) 98336-0334 e manda um oi ??. Você também encontra todos os episódios no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no Facebook.  O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda semana para mais de 500 pessoas.  Curta a página no Facebook: https://www.facebook.com/mandanoticias "
19,"Na semana passada a Prefeitura de São Paulo começou a realizar mutirões de cadastramento e atualização do Cadastro Único em diversos bairros da capital. Esse cadastro é importante para as pessoas que precisam ter acesso aos programas sociais do Governo Federal como, por exemplo, o Bolsa Família e o Passe Livre.  Saiba mais sobre o CadÚnico e sobre os mutirões no episódio de hoje. Ouça, curta e compartilhe! Se puder, fique em casa. Quando sair não esqueça de usar a máscara! ?   @Gisele Alexandre  ? Se você quer ser incluído na lista de transmissão para receber os conteúdos toda semana pelo WhatsApp, salve o número (11) 98336-0334 e manda um oi ??. Você também encontra todos os episódios no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no Facebook. O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda semana para mais de 500 pessoas. Curta a página no Facebook: https://www.facebook.com/mandanoticias "
20,"No episódio anterior falamos sobre o programa de testagem e combate à Covid-19 do Governo de São Paulo. Para entender melhor este assunto, no episódio de hoje vamos falar sobre os dois principais tipos de testes disponíveis no mercado: o sorológico e o RT-PCR.   Ouça, curta e compartilhe! Se puder, fique em casa! Quando sair não esqueça de usar a máscara! ?   Gisele Alexandre  ? Se você quer ser incluído na lista de transmissão para receber os conteúdos toda semana pelo WhatsApp, salve o número (11) 98336-0334 e manda um oi ??. Você também encontra todos os episódios no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no Facebook. O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. Curta a página no Facebook: https://www.facebook.com/mandanoticias "
21,"No episódio de hoje vamos falar sobre o Programa de Testagem e Combate à Covid-19, que promete realizar testes em moradores de áreas vulneráveis da capital. Vamos entender melhor este assunto?  Ouça, curta e compartilhe! Fica em casa, vai passar. ? Gisele Alexandre  ? Se você quer ser incluído na lista de transmissão para receber os conteúdos toda semana pelo WhatsApp, salve o número (11) 98336-0334 e manda um oi ??. Você também encontra todos os episódios no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no Facebook.  O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas.  Curta a página no Facebook: https://www.facebook.com/mandanoticias "
22,"Especial #51 Pandemia nas Periferias ? Normalização da morte com Andrea Arruda De acordo com dados oficiais divulgados pelo Ministério da Saúde no último dia 15 de julho, o Brasil tinha até esta data 1.966,748 pessoas contaminadas pelo novo coronavírus e 75.366 vítimas fatais.  Por que será que mesmo com mais de 75 mil vidas perdidas, algumas pessoas parecem desconsiderar essa tragédia de saúde pública? Por que para algumas pessoas a morte é tão naturalizada? ⚰️ Para refletir com a gente sobre este tema eu convidei a Andrea Arruda, uma mulher periférica, mãe, educadora popular, psicóloga e pedagoga. Bora dar o play?! Ouça, curta e compartilhe! Fica em casa, vai passar. ? Gisele Alexandre  ? Você encontra todos os episódio no Facebook https://www.facebook.com/mandanoticias, no Spotify bit.ly/spotify-mn e no Youtube http://bit.ly/gialexandrecanal.  O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
23,"No quinquagésimo episódio do Manda Notícias eu quero agradecer a todas e todos que acreditaram nessa ideia e, principalmente, você, ouvinte fiel que tem me motivado a seguir em frente apesar das dificuldades, que são muitas. Confere aí este episódio especial que relembra momento importantes desse projeto criado em meio à pandemia. Ouça, curta e compartilhe! Fica em casa, vai passar. ? @Gisele Alexandre  O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. ? Você também encontra todos os episódio no Spotify bit.ly/spotify-mn, no Facebook  facebook.com/mandanoticias e no Youtube http://bit.ly/gialexandrecanal. "
24,"Na semana passada uma novidade sobre a forma de transmissão do novo coronavírus começou a preocupar muita gente.  Será que é verdade que a Covid-19 pode ser transmitida pelo ar? Esse é o tema do episódio de hoje. Bora lá! Ouça, curta e compartilhe! Fica em casa, vai passar. ? Gisele Alexandre  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão para receber os conteúdos toda semana pelo WhatsApp, salve o número (11) 98336-0334 e manda um oi ?. Você também encontra todos os episódios no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no Facebook.  O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
25,"A Anvisa (Agência Nacional de Vigilância Sanitária) autorizou a empresa chinesa Sinovac Biotech a realizar testes para uma nova vacina contra a Covid-19. Os voluntários serão 9 mil profissionais de saúde que trabalham no atendimento de pacientes com a doença. Bora lá entender melhor com vai funcionar essa testagem?  Ouça, curta e compartilhe! Fica em casa, vai passar. ? Gisele Alexandre  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão para receber os conteúdos toda semana pelo WhatsApp, salve o número (11) 98336-0334 e manda um oi ?. Você também encontra todos os episódios no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no Facebook.  O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas.  Curta a página no Facebook: https://www.facebook.com/mandanoticias "
26,"Na semana passada começou a circular nas redes sociais a notícia de um novo vírus com potencial pandêmico encontrado em porcos na China. Será que isso é verdade?? No episódio de hoje vamos entender como é possível produzir uma fake news utilizando fatos reais fora do contexto. Ouça, curta e compartilhe! Fica em casa, vai passar. ?  Gisele Alexandre  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão para receber os conteúdos toda semana pelo WhatsApp, salve o número (11) 98336-0334 e manda um oi ?. Você também encontra todos os episódios no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no Facebook.  O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
27,"No episódio de hoje vamos esclarecer algumas dúvidas sobre a aplicação da multa por descumprimento ao uso de máscaras, que começou a valer em 1º de julho aqui em São Paulo. Bora lá? Ouça, curta e compartilhe! Fica em casa, vai passar. ? Gisele Alexandre  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão para receber os conteúdos toda semana pelo WhatsApp, salve o número (11) 98336-0334 e manda um oi ?. Você também encontra todos os episódios no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no Facebook.  O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas.  Curta a página no Facebook: https://www.facebook.com/mandanoticias "
28,"Especial #45 Pandemia nas Periferias ? Desafios da educação infantil com Silvia Tavares  No dia 24 de junho o governador de São Paulo, João Doria, anunciou a retomada das aulas presenciais em todos os níveis de ensino das redes pública e particular previsto para o dia 8 de setembro.   Será que isso vai funcionar? Muitas mães e pais, assim como eu, ficaram preocupadas com essa notícia. Para falar refletir sobre o tema e entender como esta decisão foi recebida pelos profissionais da área da educação eu conversei com a educadora Silvia Tavares, coordenadora pedagógica na EMEI Chácara Sonho Azul, que fica no Jardim Ângela.  Ouça, curta e compartilhe!  Fica em casa, vai passar. ?  Gisele Alexandre  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão oficial, manda uma mensagem no número (11) 98336-0334. Você também encontra todos os episódios no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no Facebook https://www.facebook.com/mandanoticias/.   O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
29,"De acordo com o último levantamento por distrito da Prefeitura de São Paulo, no Jardim Ângela existem 8.058 casos confirmado e 240 mortes por Covid-19. É também lá que está o maior número de pessoas internadas com síndrome respiratória aguda grave, são 919 pessoas hospitalizadas. Se você mora no Jardim Ângela ou região e foi identificado com o vírus, está assintomático ou com sintomas leves e tem interesse em fazer o isolamento social em um local com toda estrutura para isso, o episódio de hoje é pra você! Beijo grande, fica em casa, vai passar. ? Gisele Alexandre  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão oficial, manda uma mensagem no número (11) 98336-0334. Você também encontra todos os episódios no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no Facebook https://www.facebook.com/mandanoticias/   O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
30,"A zona sul da capital paulista é a região com mais casos graves e mortes por Covid-19 em São Paulo. O Jardim Ângela, o Jardim São Luís, o Capão Redondo e o Grajaú são os distritos em que a situação é mais crítica. No episódio de hoje, faremos um balanço com os últimos dados divulgados pela Prefeitura de São Paulo. Confira!  Fica em casa, vai passar. ? Gisele Alexandre  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão oficial, manda uma mensagem no número (11) 98336-0334. Você também encontra todos os episódios no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no Facebook https://www.facebook.com/mandanoticias/.   O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
31,"No episódio passado falamos sobre os cuidados que precisamos ter quando saímos de casa. Hoje eu trago algumas dicas preventivas contra a Covid-19 no retorno pra casa. Você sabe o que tem que fazer para evitar a transmissão do vírus para as pessoas que moram com você quando volta da rua? Ouça, curta e compartilhe! Fica em casa, vai passar. ? Gisele Alexandre  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão oficial, manda uma mensagem no número (11) 98336-0334. Você também encontra todos os episódios no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no Facebook https://www.facebook.com/mandanoticias/.  O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
32,"Com a *flexibilização da quarentena* em alguns estados e cidades do país, muitas pessoas estão *saindo de casa* para trabalhar ou para outras atividades. Por isso, é importante reforçar os cuidados preventivos contra a Covid-19. No episódio de hoje trarei *dicas para quem tem sair de casa durante a pandemia*. Ouça, curta e compartilhe! Fica em casa, vai passar. ? _Gisele Alexandre_  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão oficial, manda uma mensagem no número *(11) 98336-0334*. Você também encontra todos os episódios no *Spotify*, no *Podcasts* app da Apple, na *rádio online Mixtura* e no *Facebook* https://www.facebook.com/mandanoticias/.   _O *Manda Notícias* ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas._ "
33,"Chegamos em nosso *40º episódio* e nessa edição do podcast eu *gostaria* de trazer *notícias de esperança* sobre a pandemia do novo coronavírus, mas *infelizmente* os últimos números divulgados não são *nada positivos*. A proposta de hoje é *refletir* sobre esse *momento diferente e desafiador* que estamos vivendo. Boa lá? Ouça, curta e compartilhe! Fica em casa, vai passar. ? Gisele Alexandre  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão oficial, manda uma mensagem no número *(11) 98336-0334*. Você também encontra todos os episódios no *Spotify*, no *Podcasts* app da Apple, na *rádio online Mixtura* e no *Facebook* https://www.facebook.com/mandanoticias/.   _O *Manda Notícias* ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas._ "
34,"O tema do episódio de hoje é o Auxílio Emergencial, um assunto que já abordamos algumas vezes aqui no podcast. Mas hoje vamos falar sobre duas novidades sobre esse auxílio: a prorrogação do benefício e uma nova maneira de cadastramento para as pessoas que não tem acesso a internet. Se você tem alguma dúvida sobre os critérios para acessar o Auxílio Emergencial, entra lá no nosso Facebook ou vai no Spotify para conferir os episódios anteriores sobre o tema.   Ouça, curta e compartilhe! Fica em casa, vai passar. ? Gisele Alexandre  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão oficial, manda uma mensagem no número (11) 98336-0334. Você também encontra todos os episódios no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no Facebook https://www.facebook.com/mandanoticias/.   O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
35,"No episódio de hoje vamos falar sobre um assunto que foi bastante comentado na semana passada, depois que a chefe do Programa de Emergência em Saúde da Organização Mundial da Saúde (OMS), Maria Van Kerkhove, disse que a transmissão do novo coronavírus por pessoas que não apresentam sintomas da Covid-19 seria “muito rara”. Será??? Ouça, curta e compartilhe! Fica em casa, vai passar. ? Gisele Alexandre ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão oficial, manda uma mensagem no número *(11) 98336-0334*. Você também encontra todos os episódios no *Spotify*, no *Podcasts* app da Apple, na *rádio online Mixtura* e no *Facebook* https://www.facebook.com/mandanoticias/. O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
36,"No episódio de hoje vamos falar sobre o anúncio feito na semana passada pelo Governador João Doria, sobre uma parceria entre o Instituto Butantan e a farmacêutica chinesa Sinovac para produção e testes em estágio avançado de uma vacina contra o coronavírus. Ouça, curta e compartilhe! Fica em casa, vai passar. ? Gisele Alexandre  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão oficial, manda uma mensagem no número (11) 98336-0334. Você também encontra todos os episódios no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no Facebook https://www.facebook.com/mandanoticias/. Acesse, curta e compartilhe! O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
